high,low,open,close,volume,adjclose,Date,weekly_returns,month
37220.0,37220.0,37220.0,37220.0,0.0,37220.0,1999-01-11,-0.01281065167228072,Jan
36341.0,36341.0,36341.0,36341.0,0.0,36341.0,1999-01-12,-0.04814164855025014,Jan
34816.0,34816.0,34816.0,34816.0,0.0,34816.0,1999-01-13,-0.0880850729458603,Jan
34826.0,34826.0,34826.0,34826.0,0.0,34826.0,1999-01-14,-0.09125068496725204,Jan
35797.0,35797.0,35797.0,35797.0,0.0,35797.0,1999-01-15,-0.06118541830579596,Jan
36610.0,36610.0,36610.0,36610.0,0.0,36610.0,1999-01-18,-0.016389038151531435,Jan
35934.0,35934.0,35934.0,35934.0,0.0,35934.0,1999-01-19,-0.01119947167111527,Jan
36249.0,36249.0,36249.0,36249.0,0.0,36249.0,1999-01-20,0.04115923713235294,Jan
35465.0,35465.0,35465.0,35465.0,0.0,35465.0,1999-01-21,0.018348360420375583,Jan
34621.0,34621.0,34621.0,34621.0,0.0,34621.0,1999-01-22,-0.0328519149649412,Jan
34528.0,34528.0,34528.0,34528.0,0.0,34528.0,1999-01-25,-0.05686970773012838,Jan
34811.0,34811.0,34811.0,34811.0,0.0,34811.0,1999-01-26,-0.03125173929982746,Jan
34826.0,34826.0,34826.0,34826.0,0.0,34826.0,1999-01-27,-0.03925625534497503,Jan
35490.0,35490.0,35490.0,35490.0,0.0,35490.0,1999-01-28,0.0007049203440011279,Jan
35687.0,35687.0,35687.0,35687.0,0.0,35687.0,1999-01-29,0.030790560642384678,Jan
36234.0,36234.0,36234.0,36234.0,0.0,36234.0,1999-02-01,0.04940917516218721,Feb
35824.0,35824.0,35824.0,35824.0,0.0,35824.0,1999-02-02,0.029099997127344804,Feb
35368.0,35368.0,35368.0,35368.0,0.0,35368.0,1999-02-03,0.015563085051398381,Feb
35290.0,35290.0,35290.0,35290.0,0.0,35290.0,1999-02-04,-0.005635390250774866,Feb
35224.0,35224.0,35224.0,35224.0,0.0,35224.0,1999-02-05,-0.012973912068820578,Feb
34582.0,34582.0,34582.0,34582.0,0.0,34582.0,1999-02-08,-0.045592537395816084,Feb
33450.0,33450.0,33450.0,33450.0,0.0,33450.0,1999-02-09,-0.06626842340330505,Feb
33965.0,33965.0,33965.0,33965.0,0.0,33965.0,1999-02-10,-0.039668627007464374,Feb
34604.0,34604.0,34604.0,34604.0,0.0,34604.0,1999-02-11,-0.019438934542363277,Feb
34955.0,34955.0,34955.0,34955.0,0.0,34955.0,1999-02-12,-0.007636838519191461,Feb
35336.0,35336.0,35336.0,35336.0,0.0,35336.0,1999-02-15,0.021803250245792608,Feb
34833.0,34833.0,34833.0,34833.0,0.0,34833.0,1999-02-16,0.04134529147982063,Feb
34719.0,34719.0,34719.0,34719.0,0.0,34719.0,1999-02-17,0.022199322832327395,Feb
34982.0,34982.0,34982.0,34982.0,0.0,34982.0,1999-02-18,0.010923592648248758,Feb
35658.0,35658.0,35658.0,35658.0,0.0,35658.0,1999-02-19,0.020111572021170077,Feb
36822.0,36822.0,36822.0,36822.0,0.0,36822.0,1999-02-22,0.042053429929816616,Feb
36658.0,36658.0,36658.0,36658.0,0.0,36658.0,1999-02-23,0.05239284586455373,Feb
37320.0,37320.0,37320.0,37320.0,0.0,37320.0,1999-02-24,0.07491575218180248,Feb
36339.0,36339.0,36339.0,36339.0,0.0,36339.0,1999-02-25,0.03879137842318907,Feb
36339.0,36339.0,36339.0,36339.0,0.0,36339.0,1999-02-26,0.019098098603398957,Feb
36141.0,36141.0,36141.0,36141.0,0.0,36141.0,1999-03-01,-0.01849437836076259,Mar
36066.0,36066.0,36066.0,36066.0,0.0,36066.0,1999-03-02,-0.016149271646025424,Mar
35485.0,35485.0,35485.0,35485.0,0.0,35485.0,1999-03-03,-0.049169346195069664,Mar
36449.0,36449.0,36449.0,36449.0,0.0,36449.0,1999-03-04,0.0030270508269352485,Mar
37615.0,37615.0,37615.0,37615.0,0.0,37615.0,1999-03-05,0.03511378959244888,Mar
37024.0,37024.0,37024.0,37024.0,0.0,37024.0,1999-03-08,0.024432085443125535,Mar
37627.0,37627.0,37627.0,37627.0,0.0,37627.0,1999-03-09,0.04328176121554927,Mar
38198.0,38198.0,38198.0,38198.0,0.0,38198.0,1999-03-10,0.0764548400732704,Mar
38298.0,38298.0,38298.0,38298.0,0.0,38298.0,1999-03-11,0.050728415045680264,Mar
37757.0,37757.0,37757.0,37757.0,0.0,37757.0,1999-03-12,0.0037750897248438123,Mar
38242.0,38242.0,38242.0,38242.0,0.0,38242.0,1999-03-15,0.03289757994814175,Mar
37981.0,37981.0,37981.0,37981.0,0.0,37981.0,1999-03-16,0.009408137773407394,Mar
37905.0,37905.0,37905.0,37905.0,0.0,37905.0,1999-03-17,-0.007670558667993089,Mar
38240.0,38240.0,38240.0,38240.0,0.0,38240.0,1999-03-18,-0.0015144393963131234,Mar
38489.0,38489.0,38489.0,38489.0,0.0,38489.0,1999-03-19,0.01938713351166671,Mar
38054.0,38054.0,38054.0,38054.0,0.0,38054.0,1999-03-22,-0.004916060875477224,Mar
37408.0,37408.0,37408.0,37408.0,0.0,37408.0,1999-03-23,-0.015086490613727917,Mar
37076.0,37076.0,37076.0,37076.0,0.0,37076.0,1999-03-24,-0.02187046563777866,Mar
37683.0,37683.0,37683.0,37683.0,0.0,37683.0,1999-03-25,-0.014565899581589959,Mar
37349.0,37349.0,37349.0,37349.0,0.0,37349.0,1999-03-26,-0.029618852139572344,Mar
38054.0,38054.0,38054.0,38054.0,0.0,38054.0,1999-03-29,0.0,Mar
38191.0,38191.0,38191.0,38191.0,0.0,38191.0,1999-03-30,0.020931351582549187,Mar
38601.0,38601.0,38601.0,38601.0,0.0,38601.0,1999-03-31,0.04113172942064948,Mar
38130.0,38130.0,38130.0,38130.0,0.0,38130.0,1999-04-01,0.011862112889101186,Apr
38130.0,38130.0,38130.0,38130.0,0.0,38130.0,1999-04-02,0.020910867760850358,Apr
38130.0,38130.0,38130.0,38130.0,0.0,38130.0,1999-04-05,0.001997161927786829,Apr
38535.0,38535.0,38535.0,38535.0,0.0,38535.0,1999-04-06,0.009007357754444764,Apr
38447.0,38447.0,38447.0,38447.0,0.0,38447.0,1999-04-07,-0.003989533949897671,Apr
38594.0,38594.0,38594.0,38594.0,0.0,38594.0,1999-04-08,0.012168895882507212,Apr
38142.0,38142.0,38142.0,38142.0,0.0,38142.0,1999-04-09,0.0003147128245476003,Apr
38328.0,38328.0,38328.0,38328.0,0.0,38328.0,1999-04-12,0.005192761605035405,Apr
38642.0,38642.0,38642.0,38642.0,0.0,38642.0,1999-04-13,0.0027766965096665368,Apr
38398.0,38398.0,38398.0,38398.0,0.0,38398.0,1999-04-14,-0.0012744817541030509,Apr
38164.0,38164.0,38164.0,38164.0,0.0,38164.0,1999-04-15,-0.011141628232367726,Apr
38254.0,38254.0,38254.0,38254.0,0.0,38254.0,1999-04-16,0.002936395574432384,Apr
38471.0,38471.0,38471.0,38471.0,0.0,38471.0,1999-04-19,0.003730953871843039,Apr
38162.0,38162.0,38162.0,38162.0,0.0,38162.0,1999-04-20,-0.012421717302417059,Apr
38406.0,38406.0,38406.0,38406.0,0.0,38406.0,1999-04-21,0.00020834418459294755,Apr
38306.0,38306.0,38306.0,38306.0,0.0,38306.0,1999-04-22,0.003720783984907242,Apr
38310.0,38310.0,38310.0,38310.0,0.0,38310.0,1999-04-23,0.0014638992000836513,Apr
37949.0,37949.0,37949.0,37949.0,0.0,37949.0,1999-04-26,-0.013568662109121157,Apr
38750.0,38750.0,38750.0,38750.0,0.0,38750.0,1999-04-27,0.015407997484408574,Apr
38450.0,38450.0,38450.0,38450.0,0.0,38450.0,1999-04-28,0.0011456543248450763,Apr
38279.0,38279.0,38279.0,38279.0,0.0,38279.0,1999-04-29,-0.0007048504150785778,Apr
38679.0,38679.0,38679.0,38679.0,0.0,38679.0,1999-04-30,0.009631949882537197,Apr
38735.0,38735.0,38735.0,38735.0,0.0,38735.0,1999-05-03,0.020712008221560517,May
38696.0,38696.0,38696.0,38696.0,0.0,38696.0,1999-05-04,-0.0013935483870967742,May
38447.0,38447.0,38447.0,38447.0,0.0,38447.0,1999-05-05,-7.802340702210663e-05,May
38237.0,38237.0,38237.0,38237.0,0.0,38237.0,1999-05-06,-0.0010972073460644217,May
38049.0,38049.0,38049.0,38049.0,0.0,38049.0,1999-05-07,-0.016287908167222524,May
38018.0,38018.0,38018.0,38018.0,0.0,38018.0,1999-05-10,-0.018510391119142895,May
37637.0,37637.0,37637.0,37637.0,0.0,37637.0,1999-05-11,-0.027367169733305767,May
37234.0,37234.0,37234.0,37234.0,0.0,37234.0,1999-05-12,-0.031549925871979606,May
37549.0,37549.0,37549.0,37549.0,0.0,37549.0,1999-05-13,-0.01799304338729503,May
