high,low,open,close,volume,adjclose,Date,weekly_returns
37220.0,37220.0,37220.0,37220.0,0.0,37220.0,1999-01-11,-0.01281065167228072
36341.0,36341.0,36341.0,36341.0,0.0,36341.0,1999-01-12,-0.04814164855025014
34816.0,34816.0,34816.0,34816.0,0.0,34816.0,1999-01-13,-0.0880850729458603
34826.0,34826.0,34826.0,34826.0,0.0,34826.0,1999-01-14,-0.09125068496725204
35797.0,35797.0,35797.0,35797.0,0.0,35797.0,1999-01-15,-0.06118541830579596
36610.0,36610.0,36610.0,36610.0,0.0,36610.0,1999-01-18,-0.016389038151531435
35934.0,35934.0,35934.0,35934.0,0.0,35934.0,1999-01-19,-0.01119947167111527
36249.0,36249.0,36249.0,36249.0,0.0,36249.0,1999-01-20,0.04115923713235294
35465.0,35465.0,35465.0,35465.0,0.0,35465.0,1999-01-21,0.018348360420375583
34621.0,34621.0,34621.0,34621.0,0.0,34621.0,1999-01-22,-0.0328519149649412
34528.0,34528.0,34528.0,34528.0,0.0,34528.0,1999-01-25,-0.05686970773012838
34811.0,34811.0,34811.0,34811.0,0.0,34811.0,1999-01-26,-0.03125173929982746
34826.0,34826.0,34826.0,34826.0,0.0,34826.0,1999-01-27,-0.03925625534497503
35490.0,35490.0,35490.0,35490.0,0.0,35490.0,1999-01-28,0.0007049203440011279
35687.0,35687.0,35687.0,35687.0,0.0,35687.0,1999-01-29,0.030790560642384678
36234.0,36234.0,36234.0,36234.0,0.0,36234.0,1999-02-01,0.04940917516218721
35824.0,35824.0,35824.0,35824.0,0.0,35824.0,1999-02-02,0.029099997127344804
35368.0,35368.0,35368.0,35368.0,0.0,35368.0,1999-02-03,0.015563085051398381
35290.0,35290.0,35290.0,35290.0,0.0,35290.0,1999-02-04,-0.005635390250774866
35224.0,35224.0,35224.0,35224.0,0.0,35224.0,1999-02-05,-0.012973912068820578
34582.0,34582.0,34582.0,34582.0,0.0,34582.0,1999-02-08,-0.045592537395816084
33450.0,33450.0,33450.0,33450.0,0.0,33450.0,1999-02-09,-0.06626842340330505
